Path,Article Title,External Url,Internal Url,No Index,Last Modified,Last Modified By
"/content/help/en/adobe-connect/using/key-features-adobe-connect-mobile-app",Key features of the Adobe Connect mobile app,https://helpx.adobe.com/adobe-connect/using/key-features-adobe-connect-mobile-app.html,,false,2025-03-20 17:57:05,some_user92
"/content/help/en/adobe-connect/using/launch-workflow-changes-post11-2",Key changes in Meeting Launch and Recording Playback workflows with Adobe Connect 11.2,https://helpx.adobe.com/adobe-connect/using/launch-workflow-changes-post11-2.html,https://helpx-internal.corp.adobe.com/content/help/en/adobe-connect/using/launch-workflow-changes-post11-2.html,false,2024-07-22 08:15:02,some_user93
"/content/help/en/adobe-connect/using/layouts",Layouts,https://helpx.adobe.com/adobe-connect/using/layouts.html,,true,2025-03-03 17:20:42,some_user94
"/content/help/en/adobe-connect/using/library-files-folders",Work with Adobe Connect library files and folders,https://helpx.adobe.com/adobe-connect/using/library-files-folders.html,,false,2025-03-03 17:20:41,some_user95
"/content/help/en/adobe-connect/using/login-experience",Enter a session,,,false,2024-09-12 14:33:47,some_user96
"/content/help/en/adobe-connect/using/manage-audio-in-sessions",Manage audio in sessions,,,false,2024-09-23 04:37:28,some_user97
"/content/help/en/adobe-connect/using/manage-content",Manage content,,,false,2024-11-04 11:16:17,some_user98
"/content/help/en/adobe-connect/using/manage-pods",Pod management,https://helpx.adobe.com/adobe-connect/using/manage-pods.html,,true,2025-03-03 17:20:38,some_user99
"/content/help/en/adobe-connect/using/manage-profile-preferences-mobile-app",Manage profile and preferences in the Adobe Connect mobile app,https://helpx.adobe.com/adobe-connect/using/manage-profile-preferences-mobile-app.html,,false,2025-03-20 17:57:04,some_user100
"/content/help/en/adobe-connect/using/manage-recorded-sessions",Manage session recordings,https://helpx.adobe.com/adobe-connect/using/manage-recorded-sessions.html,,false,2025-03-03 17:20:37,some_user101
"/content/help/en/adobe-connect/using/manage-share-pod",Manage share pod,,,false,2024-09-23 10:10:49,some_user102
"/content/help/en/adobe-connect/using/manual-third-party-captioning",Manual and third-party captioning,https://helpx.adobe.com/adobe-connect/using/manual-third-party-captioning.html,,true,2025-03-03 17:20:35,some_user103
"/content/help/en/adobe-connect/using/meeting-basics",Adobe Connect meeting room basics,https://helpx.adobe.com/adobe-connect/using/meeting-basics.html,https://helpx-internal.corp.adobe.com/content/help/en/adobe-connect/using/meeting-basics.html,false,2024-07-22 08:15:00,some_user104
"/content/help/en/adobe-connect/using/mic-speaker-and-camera","Speaker\, microphone\, and camera controls",https://helpx.adobe.com/adobe-connect/using/mic-speaker-and-camera.html,,true,2025-03-20 17:57:02,some_user105
"/content/help/en/adobe-connect/using/microsoft-outlook-add-in-for-adobe-connect",Microsoft Outlook Add-in for Adobe Connect,,,false,2025-03-20 09:27:39,some_user106
"/content/help/en/adobe-connect/using/microsoft-outlook-add-in-for-adobe-connect1",Microsoft Outlook Add-in for Adobe Connect,https://helpx.adobe.com/adobe-connect/using/microsoft-outlook-add-in-for-adobe-connect.html,,false,2024-11-11 10:35:53,some_user107
"/content/help/en/adobe-connect/using/monitoring-training-reports",Adobe Connect reports to monitor training features,https://helpx.adobe.com/adobe-connect/using/monitoring-training-reports.html,https://helpx-internal.corp.adobe.com/content/help/en/adobe-connect/using/monitoring-training-reports.html,false,2025-03-03 17:20:33,some_user108
"/content/help/en/adobe-connect/using/morehelp",More Help Container,https://helpx.adobe.com/adobe-connect/using/morehelp.html,https://helpx-internal.corp.adobe.com/content/help/en/adobe-connect/using/morehelp.html,true,2020-05-20 07:03:04,some_user109
"/content/help/en/adobe-connect/using/morehelp/administering_adobe_connect",Administering Adobe Connect,https://helpx.adobe.com/adobe-connect/using/morehelp/administering_adobe_connect.html,,true,2019-08-07 14:36:02,some_user110
"/content/help/en/adobe-connect/using/morehelp/adobe_connect_events",Adobe Connect Events,https://helpx.adobe.com/adobe-connect/using/morehelp/adobe_connect_events.html,,true,2019-08-07 14:36:02,some_user111
"/content/help/en/adobe-connect/using/morehelp/adobe_connect_meeting",Adobe Connect Meeting,https://helpx.adobe.com/adobe-connect/using/morehelp/adobe_connect_meeting.html,,true,2019-08-07 14:36:01,some_user112
"/content/help/en/adobe-connect/using/morehelp/adobe_connect_training_and_seminars",Adobe Connect Training and Seminars,https://helpx.adobe.com/adobe-connect/using/morehelp/adobe_connect_training_and_seminars.html,,true,2019-08-07 14:36:01,some_user113
"/content/help/en/adobe-connect/using/morehelp/audio_and_video_conferencing",Audio and video conferencing,https://helpx.adobe.com/adobe-connect/using/morehelp/audio_and_video_conferencing.html,,true,2020-07-07 05:40:11,some_user114
"/content/help/en/adobe-connect/using/morehelp/introduction",Introduction,https://helpx.adobe.com/adobe-connect/using/morehelp/introduction.html,,true,2019-08-07 14:36:01,some_user115
"/content/help/en/adobe-connect/using/morehelp/managing_content",Managing content,https://helpx.adobe.com/adobe-connect/using/morehelp/managing_content.html,,true,2019-10-10 09:08:43,some_user116
"/content/help/en/adobe-connect/using/notes-chat-q-a-polls","Notes\, chat\, Q&A\, polls\, and quiz in Adobe Connect meeting",https://helpx.adobe.com/adobe-connect/using/notes-chat-q-a-polls.html,,false,2024-08-21 10:05:54,some_user117
"/content/help/en/adobe-connect/using/notes-pod",Notes pod,https://helpx.adobe.com/adobe-connect/using/notes-pod.html,,false,2025-03-03 17:20:32,some_user118
"/content/help/en/adobe-connect/using/notes-pod1",Notes pod,https://helpx.adobe.com/adobe-connect/using/notes-pod1.html,,true,2025-01-22 14:53:08,some_user119
"/content/help/en/adobe-connect/using/offline-recordings",Offline recordings,,,false,2024-08-13 07:25:39,some_user120
"/content/help/en/adobe-connect/using/organize-content",Organize content,,,false,2024-09-24 11:13:53,some_user121
"/content/help/en/adobe-connect/using/participant-engagement-level",Participant engagement level,,,false,2024-07-16 12:08:35,some_user122
"/content/help/en/adobe-connect/using/participating-training-sessions-meetings",Participate in Adobe Connect training sessions and meetings,https://helpx.adobe.com/adobe-connect/using/participating-training-sessions-meetings.html,https://helpx-internal.corp.adobe.com/content/help/en/adobe-connect/using/participating-training-sessions-meetings.html,false,2025-03-03 17:20:32,some_user123
"/content/help/en/adobe-connect/using/playback-a-recorded-session",Playback a recorded session,,,false,2025-01-21 10:19:45,some_user124
"/content/help/en/adobe-connect/using/pods-in-sessions",Understanding pods,https://helpx.adobe.com/adobe-connect/using/pods-in-sessions.html,,false,2025-03-03 17:20:32,some_user125
"/content/help/en/adobe-connect/using/pods-in-sessions1",Understanding pods,https://helpx.adobe.com/adobe-connect/using/pods-in-sessions1.html,,true,2025-02-18 17:15:21,some_user126
"/content/help/en/adobe-connect/using/poll-pod",Poll pod,https://helpx.adobe.com/adobe-connect/using/poll-pod.html,,false,2025-03-03 17:20:30,some_user127
"/content/help/en/adobe-connect/using/poll-pod1",Poll pod,https://helpx.adobe.com/adobe-connect/using/poll-pod1.html,,true,2025-01-22 14:53:08,some_user128
"/content/help/en/adobe-connect/using/pop-out-video-video-pod",Pop out video from Video pod,https://helpx.adobe.com/adobe-connect/using/pop-out-video-video-pod.html,,false,2025-03-20 17:57:01,some_user129
"/content/help/en/adobe-connect/using/pop-out-video-video-pod1",Pop out video from Video pod,https://helpx.adobe.com/adobe-connect/using/pop-out-video-video-pod1.html,,true,2025-01-22 14:53:08,some_user130
"/content/help/en/adobe-connect/using/pop-out-video-video-pod11",Pop out video from Video pod,https://helpx.adobe.com/adobe-connect/using/pop-out-video-video-pod.html,,false,2025-01-22 10:47:26,some_user131
"/content/help/en/adobe-connect/using/q-a-pod",Q & A pod,https://helpx.adobe.com/adobe-connect/using/q-a-pod.html,,false,2025-03-03 17:20:25,some_user132
"/content/help/en/adobe-connect/using/q-a-pod1",Q & A pod,https://helpx.adobe.com/adobe-connect/using/q-a-pod1.html,,true,2025-01-22 14:53:08,some_user133
"/content/help/en/adobe-connect/using/quiz-pod",Quiz pod,https://helpx.adobe.com/adobe-connect/using/quiz-pod.html,,false,2025-03-03 17:20:21,some_user134
"/content/help/en/adobe-connect/using/quiz-pod1",Quiz pod,https://helpx.adobe.com/adobe-connect/using/quiz-pod1.html,,true,2025-01-22 14:53:08,some_user135
"/content/help/en/adobe-connect/using/quiz-pod11",Quiz pod,https://helpx.adobe.com/adobe-connect/using/quiz-pod.html,,false,2025-01-22 10:42:04,some_user136
"/content/help/en/adobe-connect/using/reactions",Reactions in Adobe Connect room,https://helpx.adobe.com/adobe-connect/using/reactions.html,,false,2025-02-24 04:10:06,some_user137
"/content/help/en/adobe-connect/using/record-a-session",Record a session,https://helpx.adobe.com/adobe-connect/using/record-a-session.html,,false,2025-03-03 17:20:20,some_user138
"/content/help/en/adobe-connect/using/recording-playing-back-meetings",Record and play back Adobe Connect meetings,https://helpx.adobe.com/adobe-connect/using/recording-playing-back-meetings.html,https://helpx-internal.corp.adobe.com/content/help/en/adobe-connect/using/recording-playing-back-meetings.html,false,2024-11-18 16:27:07,some_user139
"/content/help/en/adobe-connect/using/recordings-in-standard-view-rooms",Recordings in standard view rooms,https://helpx.adobe.com/adobe-connect/using/recordings-in-standard-view-rooms.html,,true,2025-02-18 09:26:05,some_user140
"/content/help/en/adobe-connect/using/roles-in-adobe-connect-room",Roles in an Adobe Connect room,https://helpx.adobe.com/adobe-connect/using/roles-in-adobe-connect-room.html,https://helpx-internal.corp.adobe.com/content/help/en/adobe-connect/using/roles-in-adobe-connect-room.html,false,2025-03-20 17:57:01,some_user141
"/content/help/en/adobe-connect/using/room-templates",Room templates,,,false,2024-08-29 10:43:57,some_user142
"/content/help/en/adobe-connect/using/schedule-a-session",Schedule a session,https://helpx.adobe.com/adobe-connect/using/schedule-a-session.html,,false,2025-03-21 10:10:35,some_user143
"/content/help/en/adobe-connect/using/screen-sharing-in-sessions",Share your screen,https://helpx.adobe.com/adobe-connect/using/screen-sharing-in-sessions.html,,false,2025-03-03 17:20:19,some_user144
